,bytes_read,bytes_written
0,1629,1641
1,5973,7576
10,0,13
100,0,13
1000,66,342
1001,66,342
1002,66,342
1003,66,342
1004,66,342
1005,66,342
1006,66,342
1007,1152,1428
1008,66,396
1009,66,342
101,0,13
1010,66,459
1011,66,342
1012,66,342
1013,66,342
1014,66,342
1015,66,342
1016,66,342
1017,66,342
1018,66,342
1019,1152,1428
102,0,13
1020,66,443
1021,66,459
1022,66,342
1023,66,342
1024,7125,3600
1025,66,637
1026,66,342
1027,66,342
1028,66,342
1029,66,342
103,0,13
1030,66,342
1031,66,342
1032,66,459
1033,66,342
1034,66,342
1035,66,342
1036,66,342
1037,66,342
1038,66,342
1039,66,342
104,0,13
1040,66,342
1041,66,342
1042,66,342
1043,66,459
1044,66,342
1045,66,342
1046,66,342
1047,2552,543
1048,66,344
1049,66,342
105,0,13
1050,66,342
1051,66,342
1052,66,342
1053,66,342
1054,66,459
1055,11411,3571
1056,66,595
1057,66,342
1058,66,342
1059,66,342
106,0,13
1060,66,342
1061,66,342
1062,66,342
1063,66,342
1064,66,342
1065,66,459
1066,3867,3600
1067,66,543
1068,66,342
1069,66,342
107,0,129
1070,66,342
1071,66,342
1072,66,342
1073,66,342
1074,66,342
1075,66,342
1076,66,459
1077,4924,3600
1078,66,494
1079,66,342
108,0,14
1080,66,342
1081,66,342
1082,66,342
1083,66,342
1084,66,342
1085,66,342
1086,3324,342
1087,66,604
1088,3324,3600
1089,66,496
109,0,13
1090,66,342
1091,66,342
1092,66,342
1093,66,342
1094,66,342
1095,66,342
1096,66,342
1097,66,342
1098,66,459
1099,66,342
11,0,13
110,0,13
1100,66,342
1101,66,342
1102,66,342
1103,66,342
1104,66,342
1105,66,342
1106,66,342
1107,1152,1428
1108,1152,1482
1109,66,560
111,0,13
1110,66,342
1111,66,342
1112,66,342
1113,66,342
1114,66,342
1115,609,885
1116,609,935
1117,8182,10987
1118,2238,4059
1119,4410,6031
112,0,13
1120,66,602
1121,66,342
1122,609,885
1123,66,392
1124,66,342
1125,66,342
1126,66,342
1127,609,885
1128,66,392
1129,609,885
113,0,13
1130,609,1052
1131,1152,1479
1132,66,396
1133,66,342
1134,1152,1428
1135,66,396
1136,609,885
1137,609,935
1138,66,392
1139,66,342
114,0,13
1140,66,342
1141,1152,1545
1142,66,396
1143,66,342
1144,609,885
1145,609,935
1146,66,392
1147,66,342
1148,6524,3542
1149,66,589
115,0,13
1150,66,342
1151,3867,1428
1152,66,610
1153,66,342
1154,1152,1428
1155,66,396
1156,66,342
1157,609,885
1158,66,392
1159,609,885
116,0,13
1160,66,392
1161,66,342
1162,1695,1428
1163,66,1104
1164,609,933
1165,609,935
1166,66,392
1167,609,885
1168,66,392
1169,66,342
117,0,13
1170,66,342
1171,609,885
1172,609,935
1173,1152,392
1174,1152,2138
1175,609,986
1176,66,392
1177,609,885
1178,66,392
1179,7125,4143
118,0,129
1180,66,596
1181,66,342
1182,1152,342
1183,609,981
1184,66,392
1185,1968,1883
1186,0,116
1187,0,14
1188,1086,1099
1189,0,69
119,0,14
1190,543,556
1191,0,65
1192,0,13
1193,543,556
1194,0,65
1195,0,13
1196,543,673
1197,0,65
1198,0,13
1199,0,13
12,0,128
120,0,13
1200,543,556
1201,543,608
1202,543,608
1203,0,65
1204,0,13
1205,0,13
1206,0,13
1207,0,130
1208,0,14
1209,543,556
121,0,13
1210,6458,3265
1211,543,853
1212,0,65
1213,3258,1099
1214,0,118
1215,0,14
1216,0,13
1217,543,556
1218,0,182
1219,543,557
122,0,13
1220,0,65
1221,0,13
1222,0,13
1223,0,13
1224,0,13
1225,1086,1099
1226,0,116
1227,1086,1100
1228,0,69
1229,0,130
123,0,13
1230,0,14
1231,0,13
1232,0,13
1233,0,13
1234,0,13
1235,0,13
1236,1086,1099
1237,0,69
1238,0,13
1239,0,13
124,0,13
1240,1086,1216
1241,6516,3327
1242,1086,1354
1243,0,69
1244,543,556
1245,543,608
1246,0,65
1247,543,556
1248,0,65
1249,0,13
125,0,13
1250,0,13
1251,0,130
1252,543,557
1253,0,65
1254,0,13
1255,543,556
1256,0,65
1257,543,556
1258,0,65
1259,0,13
126,0,13
1260,0,13
1261,543,556
1262,543,725
1263,0,65
1264,543,556
1265,0,65
1266,0,13
1267,0,13
1268,543,556
1269,543,608
127,0,13
1270,0,65
1271,543,556
1272,11830,2751
1273,543,382
1274,1086,1147
1275,0,113
1276,0,14
1277,0,13
1278,543,556
1279,0,65
128,0,13
1280,543,556
1281,543,608
1282,0,65
1283,3258,3271
1284,0,333
1285,543,557
1286,0,65
1287,0,13
1288,0,13
1289,543,556
129,0,129
1290,0,65
1291,0,13
1292,543,556
1293,0,65
1294,3801,3785
1295,543,925
1296,0,65
1297,0,13
1298,0,13
1299,543,556
13,3258,3272
130,0,14
1300,0,65
1301,543,556
1302,0,65
1303,4858,8442
1304,2715,4223
1305,7059,8419
1306,2172,1561
1307,543,750
1308,0,65
1309,0,13
131,0,13
1310,0,13
1311,543,556
1312,0,65
1313,0,13
1314,543,556
1315,0,65
1316,0,130
1317,543,557
1318,0,65
1319,1629,1642
132,0,13
1320,0,118
1321,0,14
1322,543,556
1323,0,65
1324,0,13
1325,0,13
1326,543,556
1327,0,182
1328,0,14
1329,0,13
133,0,13
1330,543,556
1331,0,65
1332,543,556
1333,543,608
1334,6516,3323
1335,0,219
1336,0,14
1337,1086,13
1338,1086,1313
1339,0,116
134,0,13
1340,543,557
1341,1086,1151
1342,0,69
1343,543,556
1344,0,65
1345,0,13
1346,0,13
1347,0,13
1348,0,13
1349,0,130
135,0,13
1350,0,14
1351,543,556
1352,0,65
1353,543,556
1354,543,608
1355,0,65
1356,0,13
1357,0,13
1358,0,13
1359,0,13
136,0,13
1360,543,673
1361,0,65
1362,0,13
1363,0,13
1364,543,556
1365,6516,3323
1366,0,360
1367,1086,1100
1368,3258,1155
1369,0,163
137,0,13
1370,0,14
1371,1086,673
1372,1057,610
1373,0,67
1374,0,13
1375,0,13
1376,543,556
1377,0,65
1378,0,13
1379,1086,1099
138,0,13
1380,543,116
1381,0,606
1382,0,178
1383,756,342
1384,609,886
1385,66,392
1386,609,885
1387,0,65
1388,0,13
1389,0,13
139,0,13
1390,1629,1099
1391,0,660
1392,0,61
1393,0,130
1394,0,14
1395,0,13
1396,6516,3271
1397,543,855
1398,0,65
1399,1086,13
14,0,265
140,0,129
1400,543,653
1401,1086,1151
1402,0,69
1403,0,13
1404,543,673
1405,0,65
1406,0,13
1407,543,556
1408,0,65
