,bytes_read,bytes_written
0,9234,13336
1,22360,23171
10,0,13
100,0,13
1000,66,342
1001,66,342
1002,66,342
1003,66,342
1004,609,885
1005,66,392
1006,66,342
1007,66,342
1008,2781,3057
1009,66,447
101,0,13
1010,66,342
1011,66,342
1012,66,342
1013,66,342
1014,66,342
1015,609,342
1016,66,390
1017,66,342
1018,66,342
1019,1152,1428
102,0,13
1020,1695,2071
1021,66,445
1022,66,342
1023,66,342
1024,66,342
1025,6010,8054
1026,66,1290
1027,66,390
1028,66,342
1029,66,342
103,0,13
1030,66,342
1031,66,342
1032,66,342
1033,66,342
1034,66,885
1035,66,389
1036,66,342
1037,66,342
1038,66,342
1039,66,342
104,0,13
1040,66,342
1041,66,342
1042,543,15
1043,0,62
1044,0,13
1045,0,13
1046,0,13
1047,0,13
1048,0,13
1049,0,13
105,0,13
1050,543,13
1051,0,62
1052,0,13
1053,0,13
1054,0,13
1055,543,13
1056,5886,8790
1057,0,419
1058,543,14
1059,0,62
106,0,13
1060,0,13
1061,0,13
1062,0,13
1063,0,13
1064,0,13
1065,0,13
1066,0,13
1067,4344,6372
1068,0,372
1069,0,14
107,0,13
1070,0,13
1071,0,13
1072,0,13
1073,0,13
1074,2552,1084
1075,66,392
1076,66,342
1077,609,342
1078,6039,7836
1079,66,701
108,0,13
1080,66,342
1081,66,342
1082,66,885
1083,66,389
1084,66,342
1085,66,342
1086,609,342
1087,609,1740
1088,66,485
1089,6039,7276
109,0,13
1090,609,701
1091,66,390
1092,66,342
1093,66,342
1094,66,342
1095,66,342
1096,66,342
1097,66,342
1098,66,885
1099,66,389
11,0,13
110,0,13
1100,66,342
1101,66,342
1102,66,342
1103,66,885
1104,66,389
1105,66,342
1106,66,342
1107,66,342
1108,1152,1428
1109,2781,3158
111,0,13
1110,66,447
1111,66,342
1112,66,342
1113,66,342
1114,66,342
1115,66,342
1116,66,342
1117,1695,1971
1118,15697,18631
1119,10926,13339
112,0,13
1120,9297,11114
1121,6495,6775
1122,2238,3281
1123,3867,4296
1124,66,447
1125,66,342
1126,66,342
1127,1152,885
1128,609,982
1129,66,437
113,0,13
1130,66,342
1131,66,342
1132,1152,1428
1133,66,443
1134,66,342
1135,1152,1428
1136,66,443
1137,66,342
1138,609,885
1139,609,980
114,0,13
1140,66,437
1141,66,342
1142,1152,1428
1143,66,443
1144,66,342
1145,66,885
1146,1152,1475
1147,66,443
1148,66,342
1149,6553,8597
115,0,13
1150,66,701
1151,66,342
1152,4323,4686
1153,66,541
1154,66,342
1155,1152,1428
1156,66,443
1157,66,342
1158,66,342
1159,66,342
116,0,13
1160,1152,1428
1161,66,443
1162,66,342
1163,2238,2514
1164,609,989
1165,1086,1196
1166,1086,1202
1167,543,659
1168,543,653
1169,0,110
117,0,13
1170,0,557
1171,0,61
1172,1086,1099
1173,0,116
1174,1086,1100
1175,1629,1744
1176,1086,1204
1177,0,116
1178,543,557
1179,543,653
118,0,13
1180,8659,10538
1181,0,475
1182,0,14
1183,543,556
1184,1086,1196
1185,1086,1202
1186,1629,1744
1187,0,118
1188,816,352
1189,1086,1102
119,0,13
1190,0,116
1191,0,14
1192,0,13
1193,0,13
1194,1086,1099
1195,0,116
1196,0,14
1197,0,13
1198,0,13
1199,0,13
12,0,13
120,0,13
1200,0,13
1201,1086,1099
1202,1086,1202
1203,0,116
1204,0,14
1205,0,13
1206,0,556
1207,0,61
1208,0,13
1209,0,13
121,0,13
1210,543,13
1211,4858,6689
1212,1086,1458
1213,0,116
1214,3743,3815
1215,0,167
1216,0,14
1217,543,556
1218,543,653
1219,0,110
122,0,13
1220,0,14
1221,0,13
1222,0,13
1223,0,556
1224,0,61
1225,1086,1099
1226,1629,1744
1227,0,118
1228,1086,1100
1229,0,116
123,0,13
1230,0,14
1231,0,13
1232,0,13
1233,0,13
1234,0,13
1235,0,13
1236,543,13
1237,1086,1148
1238,0,116
1239,0,14
124,0,13
1240,0,13
1241,543,556
1242,5401,7277
1243,1086,1505
1244,0,116
1245,1086,1100
1246,0,116
1247,0,14
1248,0,13
1249,0,13
125,0,13
1250,0,556
1251,0,61
1252,0,13
1253,1086,1099
1254,0,116
1255,0,14
1256,1086,1099
1257,0,116
1258,0,14
1259,0,13
126,0,13
1260,0,13
1261,0,13
1262,1086,1099
1263,1086,1202
1264,0,116
1265,0,14
1266,0,13
1267,0,13
1268,543,556
1269,543,653
127,0,13
1270,0,110
1271,0,14
1272,1086,1099
1273,8572,12072
1274,0,423
1275,0,14
1276,0,13
1277,0,13
1278,543,13
1279,1086,1148
128,0,13
1280,0,116
1281,543,557
1282,543,653
1283,0,110
1284,4344,5316
1285,0,868
1286,1086,1147
1287,0,116
1288,0,14
1289,0,13
129,0,13
1290,1086,1099
1291,0,116
1292,0,14
1293,0,13
1294,0,13
1295,7059,8033
1296,0,472
1297,0,14
1298,0,13
1299,0,13
13,0,13
130,0,13
1300,1086,1099
1301,0,116
1302,0,14
1303,0,13
1304,13401,16544
1305,9231,10810
1306,7602,9083
1307,5343,5234
1308,1086,1349
1309,5401,5546
131,0,13
1310,0,222
1311,0,14
1312,0,13
1313,0,13
1314,0,13
1315,1086,1099
1316,0,116
1317,543,557
1318,543,653
1319,0,110
132,0,13
1320,2715,2729
1321,0,120
1322,0,14
1323,0,556
1324,0,61
1325,0,13
1326,0,556
1327,1086,1147
1328,0,116
1329,0,14
133,0,13
1330,0,13
1331,1086,1099
1332,0,116
1333,0,14
1334,543,556
1335,7573,9449
1336,0,469
1337,0,14
1338,1600,1642
1339,1629,1791
134,0,13
1340,0,118
1341,0,14
1342,1086,1099
1343,0,116
1344,0,14
1345,0,13
1346,0,13
1347,0,13
1348,0,13
1349,0,13
135,0,13
1350,0,556
1351,0,61
1352,1086,1099
1353,0,116
1354,0,14
1355,1086,1099
1356,0,116
1357,0,14
1358,0,13
1359,0,13
136,0,13
1360,0,13
1361,543,556
1362,0,65
1363,0,13
1364,0,13
1365,1086,1099
1366,5944,7826
1367,0,465
1368,1086,1100
1369,4257,3374
137,0,13
1370,0,167
1371,0,14
1372,1086,2670
1373,0,118
1374,0,14
1375,0,13
1376,543,13
1377,0,62
1378,0,13
1379,543,556
138,0,13
1380,2715,2825
1381,543,709
1382,0,110
1383,0,14
1384,0,13
1385,1086,1099
1386,0,116
1387,0,14
1388,0,13
1389,0,13
139,0,13
1390,0,13
1391,3258,3271
1392,543,663
1393,0,110
1394,543,14
1395,0,62
1396,0,13
1397,4858,6640
1398,0,372
1399,0,14
14,5973,6942
140,0,13
1400,543,556
1401,543,653
1402,3258,3339
1403,0,167
1404,0,14
1405,0,13
1406,0,13
1407,0,13
1408,1086,1099
1409,0,116
141,0,13
1410,1086,1100
1411,0,116
1412,761,352
1413,0,16
1414,0,13
1415,0,13
1416,0,13
1417,0,13
1418,1086,1099
1419,0,116
142,0,13
1420,0,14
1421,0,13
1422,543,13
1423,0,62
1424,0,13
1425,0,13
1426,0,13
1427,0,13
1428,4858,6639
1429,1086,1411
143,0,13
1430,0,116
1431,3229,3272
1432,0,167
1433,0,14
1434,0,13
1435,1629,1099
1436,1086,1203
1437,543,659
1438,543,653
1439,0,110
144,0,13
1440,0,14
1441,0,13
1442,0,13
1443,0,556
1444,0,61
1445,0,13
1446,756,341
1447,66,343
1448,1152,1428
1449,66,443
145,0,13
1450,66,342
1451,66,342
1452,1695,1428
1453,66,444
1454,66,342
1455,66,885
1456,66,389
1457,609,885
1458,609,980
1459,7096,9236
146,0,13
1460,1152,1886
1461,66,443
1462,66,342
1463,66,885
1464,66,389
1465,66,342
1466,66,342
1467,66,342
1468,66,342
1469,1152,1428
147,0,13
1470,66,443
1471,66,342
1472,66,342
1473,66,342
1474,66,342
1475,609,342
1476,66,390
1477,66,342
1478,1152,1428
1479,66,443
148,0,13
1480,66,342
1481,66,342
1482,66,342
1483,66,342
1484,609,342
1485,66,390
1486,66,342
1487,66,342
1488,66,342
1489,1152,1428
149,0,13
1490,11838,16874
1491,10926,12253
1492,5496,7212
1493,5981,6053
1494,3324,3825
1495,3324,3752
1496,1152,1581
1497,66,488
1498,66,342
1499,66,342
15,0,373
150,0,13
1500,609,885
1501,609,980
1502,66,437
1503,4410,5644
1504,66,652
1505,66,342
1506,1152,1428
1507,66,443
1508,66,342
1509,66,342
151,0,13
1510,66,342
1511,1152,1971
1512,66,444
1513,66,342
1514,4410,5647
1515,66,652
1516,66,342
1517,66,342
1518,609,1428
1519,609,983
152,0,13
1520,66,437
1521,1152,2235
1522,66,534
1523,66,342
1524,3809,4143
1525,5496,6932
1526,66,701
1527,66,342
1528,66,342
1529,66,342
153,0,13
1530,66,342
1531,66,342
1532,66,342
1533,609,342
1534,66,390
1535,2238,2514
1536,1152,1578
1537,609,986
1538,66,437
1539,66,342
154,0,13
1540,66,342
1541,1152,1428
1542,66,443
1543,66,342
1544,66,342
1545,66,342
1546,1152,1428
1547,66,443
1548,66,342
1549,66,342
155,0,13
1550,66,342
1551,66,342
1552,4924,6965
1553,66,697
1554,609,342
1555,4381,4734
1556,66,496
1557,66,342
1558,1152,1428
1559,66,443
156,0,13
1560,66,885
1561,66,389
1562,66,342
1563,66,342
1564,66,342
1565,66,342
1566,609,885
1567,609,980
1568,66,437
1569,1152,1428
157,0,13
1570,66,443
1571,66,342
1572,66,342
