,bytes_read,bytes_written
0,3149,3885
1,11276,11890
10,0,13
100,0,13
1000,66,342
1001,66,342
1002,66,342
1003,66,342
1004,66,342
1005,66,342
1006,66,342
1007,66,342
1008,66,342
1009,66,342
101,0,13
1010,66,342
1011,66,342
1012,66,342
1013,66,342
1014,66,342
1015,66,342
1016,66,342
1017,66,342
1018,66,342
1019,66,342
102,0,13
1020,66,342
1021,66,342
1022,66,342
1023,66,342
1024,66,342
1025,8696,10761
1026,66,751
1027,66,342
1028,66,342
1029,66,342
103,0,13
1030,66,342
1031,66,342
1032,66,342
1033,66,342
1034,0,15
1035,0,13
1036,0,13
1037,0,13
1038,0,13
1039,0,13
104,0,13
1040,0,13
1041,0,13
1042,0,13
1043,0,13
1044,0,13
1045,0,13
1046,0,13
1047,0,13
1048,0,13
1049,0,13
105,0,13
1050,0,13
1051,0,13
1052,0,13
1053,0,13
1054,0,13
1055,0,13
1056,17629,21134
1057,0,480
1058,0,14
1059,0,13
106,0,13
1060,0,13
1061,0,13
1062,0,13
1063,0,13
1064,0,13
1065,0,13
1066,2552,541
1067,8754,9986
1068,66,752
1069,66,342
107,0,13
1070,66,342
1071,66,342
1072,66,342
1073,66,342
1074,66,342
1075,66,342
1076,66,342
1077,66,342
1078,7125,8358
1079,66,703
108,0,13
1080,66,342
1081,66,342
1082,66,342
1083,66,342
1084,66,342
1085,66,342
1086,66,342
1087,1152,2235
1088,66,535
1089,10383,11616
109,0,13
1090,66,756
1091,66,342
1092,66,342
1093,66,342
1094,66,342
1095,66,342
1096,66,342
1097,66,342
1098,66,342
1099,66,342
11,0,13
110,0,13
1100,66,342
1101,66,342
1102,66,342
1103,66,342
1104,66,342
1105,66,342
1106,66,342
1107,66,342
1108,66,342
1109,66,342
111,0,13
1110,66,342
1111,66,342
1112,66,342
1113,66,342
1114,66,342
1115,66,342
1116,66,342
1117,66,342
1118,14469,15833
1119,9840,11709
112,0,13
1120,8211,9977
1121,609,1244
1122,66,438
1123,66,342
1124,882,680
1125,0,16
1126,0,13
1127,0,13
1128,0,13
1129,0,13
113,0,13
1130,0,13
1131,0,13
1132,0,13
1133,0,13
1134,0,13
1135,0,13
1136,0,13
1137,0,13
1138,0,13
1139,0,13
114,0,13
1140,0,13
1141,0,13
1142,0,13
1143,0,13
1144,0,13
1145,0,13
1146,0,13
1147,0,13
1148,0,13
1149,8630,10436
115,0,13
1150,0,424
1151,0,14
1152,0,13
1153,0,13
1154,0,13
1155,0,13
1156,0,13
1157,0,13
1158,0,13
1159,0,13
116,0,13
1160,0,13
1161,0,13
1162,0,13
1163,0,13
1164,0,13
1165,0,13
1166,0,13
1167,0,13
1168,0,13
1169,0,13
117,0,13
1170,0,13
1171,0,13
1172,0,13
1173,0,13
1174,0,13
1175,0,13
1176,0,13
1177,0,13
1178,0,13
1179,0,13
118,0,13
1180,10259,12065
1181,0,424
1182,0,14
1183,0,13
1184,0,13
1185,0,13
1186,0,13
1187,0,13
1188,0,13
1189,0,13
119,0,13
1190,0,13
1191,0,13
1192,0,13
1193,0,13
1194,0,13
1195,0,13
1196,0,13
1197,0,13
1198,0,13
1199,0,13
12,0,13
120,0,13
1200,0,13
1201,0,13
1202,0,13
1203,0,13
1204,0,13
1205,0,13
1206,0,13
1207,0,13
1208,0,13
1209,0,13
121,0,13
1210,0,13
1211,9716,11521
1212,0,422
1213,0,14
1214,0,13
1215,0,13
1216,0,13
1217,0,13
1218,0,13
1219,0,13
122,0,13
1220,0,13
1221,0,13
1222,0,13
1223,0,13
1224,0,13
1225,0,13
1226,0,13
1227,0,13
1228,0,13
1229,0,13
123,0,13
1230,0,13
1231,0,13
1232,0,13
1233,0,13
1234,0,13
1235,0,13
1236,0,13
1237,0,13
1238,0,13
1239,0,13
124,0,13
1240,0,13
1241,0,13
1242,9716,11522
1243,0,476
1244,0,14
1245,0,13
1246,0,13
1247,0,13
1248,0,13
1249,0,13
125,0,13
1250,0,13
1251,0,13
