,bytes_read,bytes_written
0,543,503
1,0,979
10,0,13
100,0,61
101,0,13
102,0,13
103,0,13
104,0,13
105,543,13
106,0,61
107,0,13
108,0,13
109,0,13
11,0,556
110,0,13
111,0,13
112,0,556
113,0,60
114,0,13
115,0,13
116,0,13
117,0,13
118,0,13
119,0,556
12,0,60
120,0,60
121,0,13
122,0,13
123,543,13
124,0,61
125,0,13
126,0,13
127,543,13
128,0,61
129,0,13
13,0,13
130,0,13
131,0,13
132,0,13
133,0,13
134,543,13
135,0,61
136,0,13
137,0,13
138,0,13
139,0,13
14,0,659
140,0,13
141,0,556
142,0,60
143,0,13
144,0,13
145,0,13
146,0,13
147,0,13
148,543,13
149,0,61
15,1086,1500
150,0,13
151,0,13
152,0,13
153,543,13
154,0,61
155,0,13
156,543,13
157,0,61
158,0,13
159,0,13
16,543,714
160,0,13
161,0,13
162,0,13
163,0,13
164,0,13
165,543,13
166,0,61
167,0,13
168,0,13
169,0,13
17,0,206
170,0,13
171,0,13
172,0,13
173,0,13
174,543,556
175,0,64
176,0,13
177,0,556
178,0,60
179,0,13
18,0,14
180,0,13
181,0,13
182,0,13
183,1629,6685
184,1086,2382
185,1629,2930
186,543,914
187,0,207
188,0,14
189,0,13
19,0,13
190,0,13
191,0,13
192,0,13
193,0,556
194,0,60
195,0,13
196,1629,2599
197,0,222
198,0,14
199,0,13
2,3258,4800
20,543,13
200,0,13
201,0,13
202,0,13
203,0,13
204,0,556
205,0,60
206,0,13
207,1086,2102
208,543,717
209,0,750
21,0,61
210,0,60
211,0,13
212,0,13
213,0,13
214,0,1082
215,0,61
216,0,13
217,0,13
218,543,1870
219,1086,1452
22,0,13
220,0,220
221,0,14
222,0,13
223,0,13
224,0,13
225,0,13
226,0,13
227,0,13
228,0,556
229,1629,2646
23,0,13
230,0,222
231,0,14
232,0,13
233,0,13
234,0,13
235,0,13
236,0,13
237,543,13
238,0,61
239,0,13
24,0,13
240,0,13
241,543,13
242,0,61
243,0,13
244,0,13
245,1629,4929
246,0,222
247,0,14
248,0,101
249,0,14
25,1629,2594
250,0,13
251,0,13
252,543,556
253,0,64
254,0,13
255,0,13
256,1629,2599
257,0,222
258,0,14
259,0,13
26,0,221
260,0,13
261,0,13
262,0,13
263,0,556
264,0,60
265,0,13
266,0,13
267,543,1356
268,1086,1452
269,0,220
27,0,14
270,0,14
271,0,13
272,0,13
273,0,13
274,543,13
275,0,61
276,0,13
277,0,13
278,0,13
279,0,13
28,543,13
280,0,13
281,0,13
282,543,13
283,0,61
284,0,13
285,0,13
286,0,13
287,0,99
288,0,13
289,0,13
29,0,61
290,0,556
291,0,60
292,0,13
293,0,13
294,0,13
295,0,13
296,0,13
297,0,13
298,0,556
299,0,60
3,0,1044
30,0,13
300,0,13
301,0,13
302,0,13
303,0,556
304,0,60
305,0,13
306,0,556
307,0,60
308,0,13
309,0,13
31,0,13
310,0,13
311,0,13
312,0,13
313,0,13
314,0,13
315,543,13
316,0,61
317,0,13
318,0,13
319,0,13
32,0,13
320,0,13
321,0,13
322,543,13
323,0,61
324,0,13
325,0,13
326,0,13
327,0,13
328,0,13
329,0,13
33,0,13
330,543,13
331,0,61
332,0,13
333,0,13
334,0,556
335,0,60
336,0,13
337,0,13
338,0,556
339,0,60
34,543,13
340,0,13
341,0,13
342,0,13
343,0,13
344,0,13
345,0,13
346,543,13
347,0,61
348,0,13
349,0,13
35,0,61
350,0,13
351,543,13
352,0,61
353,0,13
354,0,13
355,0,13
356,556,832
357,1629,2796
358,0,222
359,0,14
36,543,1356
360,0,13
361,0,13
362,0,13
363,0,13
364,0,13
365,1099,1375
366,0,217
367,0,14
368,0,13
369,1629,5137
37,543,958
370,4216,3432
371,2728,4299
372,0,562
373,0,14
374,0,13
375,13,1215
376,543,368
377,543,206
378,0,62
379,0,13
38,543,712
380,556,832
381,0,213
382,0,557
383,556,879
384,0,213
385,0,14
386,13,672
387,543,366
388,0,206
389,0,14
39,0,207
390,1099,832
391,0,260
392,0,14
393,543,13
394,556,880
395,543,213
396,0,62
397,0,13
398,0,13
399,0,13
4,1629,2098
40,0,14
400,1629,5472
401,0,268
402,0,14
403,13,672
404,543,366
405,543,206
406,0,62
407,0,13
408,556,832
409,0,213
41,0,13
410,0,14
411,1086,2101
412,543,715
413,556,1026
414,556,1576
415,13,919
416,543,366
417,0,206
418,543,14
419,543,61
42,0,556
420,556,880
421,543,213
422,543,1405
423,1086,1452
424,556,1039
425,0,214
426,13,673
427,543,366
428,0,206
429,0,557
43,0,60
430,0,60
431,0,820
432,556,879
433,543,1556
434,1629,1452
435,0,266
436,0,14
437,556,832
438,0,213
439,543,14
44,0,13
440,0,61
441,0,13
442,13,672
443,543,366
444,0,206
445,0,557
446,0,60
447,0,13
448,0,13
449,556,832
45,0,13
450,1099,1032
451,0,261
452,0,14
453,0,13
454,543,13
455,543,61
456,0,61
457,0,13
458,0,556
459,0,60
46,0,13
460,556,832
461,0,756
462,1629,4198
463,0,222
464,543,14
465,13,720
466,543,366
467,0,206
468,0,14
469,0,13
47,1629,2599
470,543,13
471,543,61
472,0,61
473,543,1356
474,1086,1452
475,0,220
476,556,833
477,0,213
478,0,14
479,543,13
48,0,222
480,0,61
481,0,13
482,0,13
483,543,556
484,0,108
485,556,833
486,0,213
487,0,14
488,0,13
489,13,672
49,0,14
490,543,366
491,556,1568
492,0,260
493,556,833
494,543,213
495,0,62
496,0,13
497,0,13
498,543,13
499,0,61
5,0,221
50,0,13
500,0,556
501,13,719
502,1086,366
503,0,253
504,556,833
505,0,213
506,0,14
507,0,13
508,0,13
509,543,13
51,0,13
510,556,880
511,556,1032
512,0,214
513,0,14
514,0,13
515,543,13
516,13,720
517,543,366
518,0,206
519,0,14
52,0,13
520,556,832
521,0,756
522,0,60
523,0,13
524,0,13
525,0,556
526,0,60
527,556,832
528,0,213
529,13,673
53,0,13
530,1086,366
531,0,253
532,0,14
533,543,13
534,556,1423
535,0,260
536,0,14
537,0,13
538,556,832
539,0,213
54,0,13
540,0,557
541,0,60
542,0,13
543,13,672
544,543,366
545,0,206
546,0,14
547,0,556
548,556,879
549,0,213
55,0,13
550,0,557
551,0,60
552,0,13
553,0,13
554,0,13
555,1629,5942
556,1099,2479
557,2715,4441
558,0,424
559,0,14
56,543,13
560,0,13
561,0,13
562,0,13
563,556,832
564,0,213
565,556,673
566,543,413
567,0,206
568,1629,2600
569,543,222
57,0,61
570,0,62
571,543,13
572,0,61
573,0,13
574,543,13
575,1099,880
576,0,260
577,0,14
578,0,13
579,556,832
58,543,1356
580,543,213
581,0,62
582,13,1215
583,543,413
584,0,206
585,0,14
586,543,2133
587,1086,1455
588,0,763
589,0,60
59,1629,1668
590,556,832
591,0,213
592,543,14
593,0,61
594,0,13
595,0,13
596,0,13
597,543,13
598,543,61
599,0,61
6,0,14
60,0,266
600,556,832
601,0,213
602,0,14
603,13,672
604,543,366
605,0,749
606,0,60
607,0,13
608,0,13
609,543,556
61,0,14
610,0,64
611,543,13
612,0,61
613,556,832
614,0,213
615,0,14
616,556,832
617,1629,5673
618,0,268
619,0,14
62,0,13
620,1099,832
621,543,215
622,0,62
623,0,13
624,0,556
625,0,60
626,0,13
627,556,672
628,1629,2502
629,543,861
63,0,556
630,0,207
631,0,14
632,0,13
633,556,832
634,0,756
635,0,60
636,0,13
637,543,13
638,0,61
639,1642,2920
64,0,60
640,543,864
641,0,207
642,543,557
643,0,108
644,0,14
645,543,13
646,0,61
647,0,13
648,0,819
649,556,719
65,0,13
650,2143,2999
651,0,366
652,0,557
653,0,60
654,0,13
655,0,13
656,556,1375
657,0,260
658,556,833
659,0,213
66,543,232
660,0,14
661,0,556
662,0,60
663,0,13
664,0,13
