time,bytes_read,bytes_written
0,8032,8842
1,4344,5953
10,0,13
100,0,13
1000,16340,16975
1001,23797,23368
1002,9571,7369
1003,1629,1800
1004,1086,1792
1005,543,706
1006,0,110
1007,0,14
1008,0,13
1009,2172,1642
101,0,13
1010,543,233
1011,0,63
1012,0,13
1013,0,13
1014,0,13
1015,543,13
1016,0,605
1017,0,61
1018,543,556
1019,0,110
102,0,13
1020,2143,1100
1021,0,234
1022,0,14
1023,543,13
1024,6516,3320
1025,0,311
1026,1086,14
1027,0,653
1028,0,61
1029,543,13
103,0,13
1030,0,62
1031,0,13
1032,0,130
1033,0,557
1034,0,61
1035,543,13
1036,0,605
1037,0,61
1038,0,13
1039,0,13
104,0,13
1040,0,13
1041,0,13
1042,0,13
1043,0,130
1044,543,557
1045,0,110
1046,0,14
1047,0,13
1048,0,13
1049,0,556
105,0,13
1050,0,61
1051,0,556
1052,0,61
1053,543,13
1054,0,179
1055,12489,3272
1056,0,316
1057,0,14
1058,1086,13
1059,0,110
106,0,13
1060,0,14
1061,0,13
1062,0,13
1063,0,13
1064,543,13
1065,0,179
1066,3801,3272
1067,0,310
1068,543,14
1069,0,62
107,0,129
1070,0,13
1071,0,13
1072,0,13
1073,0,556
1074,543,61
1075,0,62
1076,543,673
1077,3801,3368
1078,0,219
1079,0,14
108,0,14
1080,0,556
1081,0,61
1082,0,13
1083,0,556
1084,0,61
1085,0,13
1086,3801,13
1087,0,912
1088,3258,3319
1089,1086,216
109,0,13
1090,543,111
1091,0,606
1092,0,604
1093,0,61
1094,0,556
1095,0,61
1096,0,13
1097,0,13
1098,0,130
1099,0,557
11,0,13
110,0,13
1100,0,61
1101,0,556
1102,0,61
1103,0,13
1104,0,13
1105,543,13
1106,0,62
1107,0,13
1108,0,13
1109,0,673
111,0,13
1110,0,604
1111,0,61
1112,0,13
1113,0,13
1114,0,556
1115,0,61
1116,0,13
1117,6458,9525
1118,6487,8118
1119,7602,8579
112,0,13
1120,3743,4225
1121,23341,24098
1122,26425,24257
1123,2172,2398
1124,3258,3348
1125,0,167
1126,0,14
1127,0,13
1128,0,13
1129,0,556
113,0,13
1130,0,178
1131,0,557
1132,0,61
1133,0,556
1134,0,61
1135,0,13
1136,0,556
1137,0,61
1138,0,13
1139,0,13
114,0,13
1140,0,13
1141,0,673
1142,543,61
1143,2546,590
1144,66,344
1145,886,680
1146,0,16
1147,0,13
1148,6516,3271
1149,0,1399
115,0,13
1150,0,109
1151,8087,3815
1152,0,335
1153,0,14
1154,0,13
1155,0,13
1156,0,13
1157,0,556
1158,0,61
1159,543,13
116,0,13
1160,0,62
1161,0,13
1162,1629,1099
1163,1086,1272
1164,0,116
1165,0,14
1166,543,556
1167,0,110
1168,0,14
1169,0,13
117,0,13
1170,543,13
1171,0,62
1172,0,13
1173,1629,1642
1174,1086,1272
1175,0,161
1176,0,14
1177,0,556
1178,0,61
1179,6516,3271
118,0,129
1180,0,311
1181,543,14
1182,2172,62
1183,0,158
1184,5430,1643
1185,543,284
1186,543,606
1187,543,110
1188,0,63
1189,0,13
119,0,14
1190,0,13
1191,0,13
1192,0,13
1193,543,13
1194,543,62
1195,2172,2234
1196,0,235
1197,0,557
1198,0,61
1199,0,13
12,0,128
120,0,13
1200,543,13
1201,0,62
1202,0,13
1203,543,13
1204,0,605
1205,0,61
1206,1629,1642
1207,0,778
1208,0,61
1209,0,13
121,0,13
1210,6516,3271
1211,0,312
1212,543,14
1213,3258,62
1214,543,701
1215,0,110
1216,0,14
1217,2172,1099
1218,543,1320
1219,0,113
122,0,13
1220,0,14
1221,0,13
1222,0,556
1223,0,61
1224,0,556
1225,543,61
1226,0,605
1227,0,604
1228,543,1147
1229,543,230
123,0,13
1230,0,606
1231,0,61
1232,0,13
1233,0,13
1234,543,13
1235,0,605
1236,0,61
1237,0,13
1238,0,13
1239,0,13
124,0,13
1240,0,130
1241,6487,3786
1242,26968,27867
1243,15370,15642
1244,6885,4585
1245,2715,3396
1246,543,756
1247,0,110
1248,0,14
1249,0,13
125,0,13
1250,0,556
1251,0,721
1252,0,61
1253,0,13
1254,0,13
1255,1086,13
1256,0,110
1257,0,14
1258,0,13
1259,0,556
126,0,13
1260,0,61
1261,0,556
1262,0,178
1263,0,14
1264,0,13
1265,0,556
1266,0,61
1267,543,556
1268,0,110
1269,0,14
127,0,13
1270,0,13
1271,0,13
1272,11888,3242
1273,543,1022
1274,0,111
1275,543,14
1276,543,62
1277,0,1148
1278,0,109
1279,0,557
128,0,13
1280,0,61
1281,0,556
1282,0,61
1283,3801,3271
1284,0,380
1285,0,557
1286,0,61
1287,0,13
1288,0,13
1289,543,13
129,0,129
1290,0,605
1291,0,61
1292,0,13
1293,0,13
1294,3801,3271
1295,543,382
1296,0,63
1297,0,13
1298,543,13
1299,0,62
13,3258,3243
130,0,14
1300,0,13
1301,0,13
1302,0,556
1303,10259,13376
1304,2172,3742
1305,6516,8420
1306,3200,3731
1307,3801,3395
