,bytes_read,bytes_written
0,2517,5263
1,13434,13519
10,0,13
100,0,13
1000,1695,2164
1001,268812,269162
1002,390074,292098
1003,416122,514947
1004,62471,62862
1005,66,502
1006,66,342
1007,66,342
1008,66,342
1009,66,342
101,0,13
1010,2723,3028
1011,66,446
1012,66,342
1013,66,342
1014,66,342
1015,66,342
1016,66,342
1017,66,342
1018,66,342
1019,66,342
102,0,13
1020,66,342
1021,1152,1428
1022,609,985
1023,66,437
1024,66,342
1025,9268,11313
1026,66,806
1027,66,342
1028,66,342
1029,66,342
103,0,13
1030,66,342
1031,66,342
1032,66,342
1033,66,342
1034,66,342
1035,66,342
1036,66,342
1037,66,342
1038,66,342
1039,66,342
104,0,13
1040,66,342
1041,66,342
1042,66,342
1043,66,342
1044,66,342
1045,66,342
1046,66,342
1047,66,342
1048,2546,543
1049,66,344
105,0,13
1050,66,342
1051,66,342
1052,66,342
1053,66,342
1054,66,342
1055,66,342
1056,8638,12299
1057,66,791
1058,66,342
1059,66,342
106,0,13
1060,66,342
1061,66,342
1062,66,342
1063,66,342
1064,66,342
1065,66,342
1066,66,342
1067,6039,7276
1068,66,701
1069,66,342
107,0,13
1070,66,342
1071,66,342
1072,66,342
1073,66,342
1074,66,342
1075,66,342
1076,66,342
1077,66,342
1078,7668,8905
1079,66,754
108,0,13
1080,66,342
1081,66,342
1082,66,342
1083,66,342
1084,66,342
1085,66,342
1086,66,342
1087,2238,3322
1088,66,539
1089,9297,10534
109,0,13
1090,66,753
1091,66,342
1092,66,342
1093,66,342
1094,66,342
1095,66,342
1096,66,342
1097,66,342
1098,66,342
1099,66,342
11,0,13
110,0,13
1100,66,342
1101,66,342
1102,66,342
1103,66,342
1104,66,342
1105,66,342
1106,66,342
1107,66,342
1108,66,342
1109,66,342
111,0,13
1110,66,342
1111,66,342
1112,66,342
1113,66,342
1114,66,342
1115,66,342
1116,66,342
1117,66,342
1118,11469,13106
1119,7067,8399
112,0,13
1120,6039,7805
1121,5496,5045
1122,6922,7450
1123,1695,2076
1124,609,988
1125,1152,1478
1126,609,985
1127,66,437
1128,66,342
1129,66,342
113,0,13
1130,66,342
1131,66,342
1132,66,342
1133,1152,1428
1134,609,985
1135,66,437
1136,66,342
1137,66,342
1138,66,342
1139,66,342
114,0,13
1140,66,342
1141,66,342
1142,66,342
1143,66,342
1144,66,342
1145,66,342
1146,66,342
1147,66,342
1148,66,342
1149,8725,10770
115,0,13
1150,66,755
1151,66,342
1152,5496,5772
1153,66,594
1154,66,342
1155,66,342
1156,66,342
1157,66,342
1158,66,342
1159,66,342
116,0,13
1160,66,342
1161,66,342
1162,66,342
1163,1695,1971
1164,66,445
1165,66,342
1166,66,342
1167,66,342
1168,66,342
1169,66,342
117,0,13
1170,66,342
1171,66,342
1172,66,342
1173,66,342
1174,4352,4657
1175,66,447
1176,66,342
1177,66,342
1178,66,342
1179,66,342
118,0,13
1180,5467,7512
1181,66,699
1182,66,342
1183,1152,1428
1184,66,487
1185,1152,1428
1186,66,487
1187,66,342
1188,66,342
1189,66,342
119,0,13
1190,66,342
1191,66,342
1192,66,342
1193,66,342
1194,66,342
1195,66,342
1196,3838,4143
1197,66,447
1198,66,342
1199,66,342
12,0,13
120,0,13
1200,66,342
1201,66,342
1202,66,342
1203,66,342
1204,66,342
1205,66,342
1206,66,342
1207,3324,3600
1208,66,447
1209,66,342
121,0,13
1210,66,342
1211,6010,8055
1212,886,1132
1213,0,17
1214,1086,556
1215,1086,1787
1216,0,117
1217,0,14
1218,1629,1642
1219,543,659
122,0,13
1220,0,110
1221,0,14
1222,0,13
1223,0,13
1224,0,13
1225,3258,3271
1226,0,171
1227,0,14
1228,0,13
1229,1086,1099
123,0,13
1230,543,658
1231,0,110
1232,0,14
1233,0,13
1234,0,13
1235,0,13
1236,0,13
1237,0,13
1238,0,13
1239,0,13
124,0,13
1240,0,13
1241,0,13
1242,8116,9904
1243,20626,21029
1244,2172,2396
1245,6342,6461
1246,543,120
1247,543,1149
1248,543,656
1249,0,110
125,0,13
1250,0,14
1251,0,13
1252,0,13
1253,0,13
1254,0,13
1255,0,13
1256,0,13
1257,0,13
1258,0,13
1259,0,13
126,0,13
1260,0,13
1261,0,13
1262,0,13
1263,0,13
1264,0,13
1265,0,13
1266,0,13
1267,0,13
1268,0,13
1269,0,13
127,0,13
1270,0,13
1271,0,13
1272,0,13
1273,10686,14142
1274,0,516
1275,0,14
1276,0,13
1277,543,556
1278,0,65
1279,0,13
128,0,13
1280,0,13
1281,0,13
1282,0,13
1283,0,13
1284,7602,8576
1285,0,376
1286,0,14
1287,0,13
1288,0,13
1289,0,13
129,0,13
1290,0,13
1291,0,13
1292,0,13
1293,0,13
1294,0,13
1295,4344,5318
1296,0,325
1297,0,14
1298,0,13
