time,bytes_read,bytes_written
0,9205,13307
1,13819,15548
10,0,13
100,0,13
1000,66,494
1001,6951,7227
1002,5865,6246
1003,2238,2075
1004,66,986
1005,609,389
1006,66,390
1007,66,342
1008,66,342
1009,66,885
101,0,13
1010,2781,3104
1011,66,447
1012,66,885
1013,66,389
1014,66,342
1015,66,342
1016,609,342
1017,66,390
1018,66,342
1019,66,342
102,0,13
1020,66,342
1021,66,342
1022,66,342
1023,66,342
1024,66,342
1025,7096,8595
1026,66,744
1027,66,342
1028,66,342
1029,66,342
103,0,13
1030,66,342
1031,66,342
1032,66,342
1033,609,885
1034,66,392
1035,609,342
1036,66,390
1037,66,342
1038,66,342
1039,66,342
104,0,13
1040,66,342
1041,66,342
1042,66,885
1043,66,389
1044,66,342
1045,66,342
1046,66,342
1047,66,342
1048,2546,1086
1049,66,392
105,0,13
1050,66,342
1051,66,342
1052,66,342
1053,66,342
1054,66,342
1055,66,342
1056,8124,11780
1057,66,1340
1058,66,390
1059,66,342
106,0,13
1060,66,342
1061,66,342
1062,609,342
1063,66,390
1064,66,342
1065,66,342
1066,66,342
1067,7668,8905
1068,66,752
1069,66,342
107,0,13
1070,66,342
1071,66,885
1072,66,389
1073,66,342
1074,66,342
1075,66,342
1076,66,342
1077,66,342
1078,6039,7273
1079,66,701
108,0,13
1080,66,885
1081,66,389
1082,66,342
1083,66,342
1084,66,342
1085,66,342
1086,66,342
1087,1152,2235
1088,66,535
1089,6039,7819
109,0,13
1090,1666,2377
1091,1152,1529
1092,609,986
1093,66,437
1094,66,342
1095,66,342
1096,66,885
1097,66,389
1098,66,342
1099,66,342
11,0,13
110,0,13
1100,66,885
1101,66,389
1102,66,342
1103,66,342
1104,66,342
1105,66,342
1106,66,342
1107,609,342
1108,66,390
1109,66,342
111,0,13
1110,66,342
1111,66,342
1112,66,885
1113,66,389
1114,886,680
1115,0,16
1116,0,13
1117,0,13
1118,14031,17033
1119,10860,12506
112,0,13
1120,8688,10192
1121,6487,4770
1122,10143,10364
1123,6342,6610
1124,543,120
1125,0,606
1126,0,61
1127,0,13
1128,543,13
1129,0,62
113,0,13
1130,0,13
1131,0,13
1132,543,13
1133,0,62
1134,0,13
1135,0,13
1136,0,13
1137,0,556
1138,0,61
1139,0,13
114,0,13
1140,0,13
1141,0,13
1142,0,13
1143,0,556
1144,0,61
1145,0,13
1146,0,13
1147,0,13
1148,543,13
1149,7030,8861
115,0,13
1150,0,420
1151,0,14
1152,6429,6529
1153,0,268
1154,0,14
1155,543,13
1156,0,62
1157,0,13
1158,0,13
1159,0,13
116,0,13
1160,0,13
1161,0,556
1162,0,61
1163,1086,1099
1164,1629,1744
1165,0,118
1166,0,14
1167,0,13
1168,543,13
1169,0,62
117,0,13
1170,0,13
1171,0,556
1172,0,61
1173,0,13
1174,2715,2728
1175,0,120
1176,0,14
1177,0,13
1178,0,13
1179,0,13
118,0,13
1180,9716,11523
1181,0,473
1182,0,557
1183,543,604
1184,0,110
1185,3743,3815
1186,0,167
1187,0,14
1188,0,13
1189,0,13
119,0,13
1190,0,556
1191,0,61
1192,0,13
1193,0,13
1194,0,13
1195,0,13
1196,2715,2728
1197,0,120
1198,0,14
1199,0,556
12,0,13
120,0,13
1200,0,61
1201,0,13
1202,0,13
1203,0,13
1204,0,13
1205,0,13
1206,543,13
1207,2715,2777
1208,0,120
1209,0,14
121,0,13
1210,0,13
1211,7030,8808
1212,0,375
1213,0,14
1214,543,556
1215,0,110
1216,0,14
1217,0,13
1218,1086,1099
1219,1629,1744
122,0,13
1220,0,118
1221,0,14
1222,0,13
1223,0,13
1224,0,13
1225,0,13
1226,0,13
1227,0,556
1228,0,61
1229,0,13
123,0,13
1230,0,13
1231,0,13
1232,0,13
1233,543,13
1234,0,62
1235,0,13
1236,0,13
