,bytes_read,bytes_written
0,1629,1947
1,8927,13771
10,0,431
100,543,13
1000,0,13
1001,1086,13
1002,0,108
1003,0,14
1004,0,13
1005,0,556
1006,543,60
1007,0,61
1008,543,13
1009,0,61
101,0,61
1010,0,13
1011,0,13
1012,0,556
1013,0,60
1014,0,13
1015,0,13
1016,543,556
1017,0,108
1018,543,14
1019,0,61
102,0,13
1020,1629,3386
1021,0,223
1022,0,14
1023,0,13
1024,543,13
1025,0,61
1026,543,13
1027,0,61
1028,0,13
1029,0,13
103,0,556
1030,0,13
1031,543,13
1032,543,61
1033,0,61
1034,0,13
1035,0,556
1036,0,60
1037,0,13
1038,0,13
1039,0,13
104,0,60
1040,0,13
1041,543,556
1042,0,108
1043,0,14
1044,0,13
1045,0,13
1046,0,13
1047,0,13
1048,0,13
1049,543,556
105,543,13
1050,0,108
1051,543,1086
1052,0,109
1053,0,14
1054,0,13
1055,0,13
1056,0,13
1057,0,13
1058,543,13
1059,543,61
106,0,61
1060,0,61
1061,0,13
1062,0,13
1063,0,13
1064,0,13
1065,0,13
1066,0,13
1067,1086,13
1068,0,108
1069,0,14
107,0,13
1070,0,13
1071,0,13
1072,0,13
1073,0,13
1074,543,13
1075,543,61
1076,0,61
1077,0,13
1078,1086,13
1079,0,108
108,543,13
1080,0,14
1081,0,13
1082,0,1351
1083,0,61
1084,0,13
1085,543,13
1086,0,61
1087,0,13
1088,0,13
1089,0,13
109,0,61
1090,543,13
1091,0,61
1092,0,13
1093,0,13
1094,543,13
1095,0,61
1096,11316,32947
1097,8087,19473
1098,543,2136
1099,1629,2922
11,0,14
110,0,13
1100,543,1137
1101,1629,4284
1102,1086,768
1103,0,255
1104,0,14
1105,0,13
1106,543,13
1107,0,604
1108,0,60
1109,0,13
111,543,13
1110,0,13
1111,543,13
1112,0,61
1113,0,3298
1114,0,107
1115,0,14
1116,0,13
1117,0,13
1118,0,13
1119,0,13
112,0,61
1120,1086,13
1121,0,108
1122,0,557
1123,0,60
1124,0,13
1125,0,13
1126,0,13
1127,0,13
1128,543,13
1129,543,61
113,543,13
1130,0,61
1131,543,13
1132,0,604
1133,0,60
1134,0,13
1135,543,13
1136,0,61
1137,0,13
1138,0,13
1139,543,13
114,0,604
1140,0,61
1141,0,13
1142,0,13
1143,543,13
1144,1629,3435
1145,0,223
1146,0,14
1147,0,556
1148,0,60
1149,543,13
115,0,60
1150,543,61
1151,0,61
1152,0,13
1153,0,13
1154,0,13
1155,0,13
1156,0,556
1157,543,60
1158,1086,5147
1159,2143,3616
116,0,13
1160,385945,389355
1161,378611,389181
1162,262860,260120
1163,53255,58441
1164,1600,228
1165,0,211
1166,0,14
1167,0,1099
1168,0,107
1169,0,14
117,0,13
1170,0,13
1171,543,13
1172,0,61
1173,0,13
1174,259683,259937
1175,246866,260092
1176,262802,259649
1177,311689,317173
1178,1600,236
1179,0,211
118,543,13
1180,0,14
1181,543,13
1182,0,61
1183,0,556
1184,0,60
1185,0,13
1186,0,13
1187,543,556
1188,254801,259565
1189,509639,518867
119,543,61
1190,263345,259606
1191,53226,58412
1192,1600,228
1193,255344,260106
1194,262773,259578
1195,246866,259574
1196,316028,317687
1197,1600,779
1198,0,257
1199,0,14
12,0,13
120,0,61
1200,0,13
1201,543,13
1202,0,61
1203,0,13
1204,543,556
1205,262031,259594
1206,511297,522317
1207,246866,259782
1208,62475,57881
1209,1600,228
121,0,13
1210,0,754
1211,0,60
1212,0,13
1213,0,556
1214,0,60
1215,0,13
1216,0,13
1217,7573,26458
1218,9202,16214
1219,257923,267348
122,0,13
1220,266031,264872
1221,249038,265174
1222,316135,317380
1223,1600,779
1224,0,257
1225,0,14
1226,0,13
1227,543,556
1228,259140,259594
1229,460318,363275
123,543,13
1230,312210,415198
1231,48916,57852
1232,2172,228
1233,0,257
1234,0,14
1235,0,13
1236,0,13
1237,0,3297
1238,0,107
1239,0,14
124,0,61
1240,543,13
1241,259683,262041
1242,246866,259549
1243,262831,259603
1244,262831,260146
1245,50545,57898
1246,0,228
1247,0,14
1248,0,13
1249,0,13
125,0,13
1250,0,13
1251,543,556
1252,261488,260137
1253,247438,259622
1254,509154,518894
1255,62504,57884
1256,1629,228
1257,0,211
1258,0,557
1259,0,60
126,0,556
1260,0,13
1261,0,13
1262,0,13
1263,543,13
