,bytes_read,bytes_written
0,7497,12267
1,7519,9723
10,0,13
100,0,13
1000,1086,1403
1001,280315,277415
1002,534350,534578
1003,267117,267268
1004,67603,67731
1005,0,126
1006,0,557
1007,543,61
1008,0,605
1009,0,61
101,0,13
1010,5430,6471
1011,0,765
1012,0,61
1013,0,13
1014,0,13
1015,543,13
1016,0,62
1017,0,556
1018,543,61
1019,0,62
102,0,13
1020,543,556
1021,3258,3368
1022,2172,1845
1023,543,800
1024,0,110
1025,6487,8266
1026,0,374
1027,0,14
1028,0,13
1029,543,13
103,0,13
1030,0,605
1031,0,604
1032,0,61
1033,543,13
1034,0,62
1035,543,13
1036,0,605
1037,0,61
1038,0,13
1039,543,13
104,0,13
1040,0,62
1041,0,13
1042,543,13
1043,0,62
1044,543,556
1045,0,110
1046,0,14
1047,0,13
1048,0,13
1049,0,556
105,0,13
1050,0,61
1051,543,13
1052,0,605
1053,0,61
1054,0,556
1055,0,61
1056,6972,10914
1057,0,466
1058,0,14
1059,543,13
106,0,13
1060,543,62
1061,0,62
1062,0,13
1063,0,13
1064,543,13
1065,0,62
1066,543,13
1067,5973,7545
1068,0,370
1069,0,557
107,0,13
1070,0,61
1071,0,13
1072,543,556
1073,543,110
1074,0,63
1075,0,13
1076,0,13
1077,543,13
1078,6516,7002
1079,2618,4214
108,0,13
1080,0,206
1081,0,557
1082,0,604
1083,0,61
1084,0,13
1085,0,556
1086,0,61
1087,1086,1906
1088,543,162
1089,6516,6994
109,0,13
1090,1086,964
1091,1086,2330
1092,0,164
1093,1086,14
1094,0,110
1095,0,14
1096,0,13
1097,0,13
1098,543,13
1099,0,605
11,0,13
110,0,13
1100,0,604
1101,0,61
1102,1363,1437
1103,2546,687
1104,66,344
1105,66,342
1106,66,342
1107,66,342
1108,66,342
1109,66,342
111,0,13
1110,66,885
1111,66,932
1112,609,389
1113,66,390
1114,66,342
1115,609,342
1116,66,390
1117,66,1428
1118,13554,15410
1119,6039,8927
112,0,13
1120,7668,9930
1121,4895,5637
1122,19266,17363
1123,6379,7014
1124,1695,2074
1125,66,445
1126,66,342
1127,66,342
1128,66,885
1129,66,932
113,0,13
1130,609,932
1131,66,437
1132,66,342
1133,66,342
1134,609,342
1135,609,390
1136,609,390
1137,66,390
1138,66,342
1139,66,342
114,0,13
1140,66,342
1141,66,1428
1142,609,437
1143,66,390
1144,66,342
1145,66,342
1146,66,342
1147,609,1428
1148,66,440
1149,7639,9143
115,0,13
1150,66,749
1151,66,342
1152,4866,4143
1153,66,542
1154,66,342
1155,609,885
1156,66,437
1157,66,342
1158,66,342
1159,66,342
116,0,13
1160,66,885
1161,66,932
1162,609,389
1163,4381,4734
1164,1695,2173
1165,66,445
1166,66,342
1167,609,342
1168,66,933
1169,66,932
117,0,13
1170,66,389
1171,609,342
1172,66,390
1173,66,342
1174,5496,6800
1175,609,498
1176,66,390
1177,66,342
1178,66,342
1179,66,342
118,0,13
1180,7639,9683
1181,66,1294
1182,609,390
1183,1695,1476
1184,66,580
1185,5923,5772
1186,1695,2221
1187,66,988
1188,0,62
1189,0,13
119,0,13
1190,0,13
1191,543,13
1192,543,62
1193,0,605
1194,0,61
1195,0,556
1196,5430,6005
1197,0,714
1198,0,61
1199,0,13
12,0,13
120,0,13
1200,0,13
1201,0,13
1202,0,13
1203,0,556
1204,0,604
1205,543,604
1206,0,65
1207,5430,5443
1208,0,714
1209,0,61
121,0,13
1210,0,13
1211,10288,12069
1212,543,1021
1213,0,111
1214,1086,1100
1215,0,206
1216,0,14
1217,0,13
1218,4286,4900
1219,2172,2436
122,0,13
1220,66,539
1221,66,885
1222,66,389
1223,66,342
1224,609,342
1225,609,390
1226,66,390
1227,609,342
1228,66,390
1229,3324,3600
123,0,13
1230,2238,2715
1231,66,539
1232,66,342
1233,66,342
1234,1152,342
1235,66,438
1236,66,342
1237,66,342
1238,609,342
1239,66,390
124,0,13
1240,609,342
1241,609,390
1242,5467,7014
1243,13293,11480
1244,5865,6399
1245,1695,1533
1246,609,1032
1247,1152,438
1248,66,438
1249,66,342
125,0,13
1250,66,342
1251,66,342
1252,66,342
1253,66,1428
1254,66,980
1255,66,389
1256,66,342
1257,66,342
1258,66,885
1259,66,389
126,0,13
1260,1152,342
1261,66,438
1262,66,342
1263,66,342
1264,609,342
1265,66,390
1266,66,342
1267,609,1428
1268,66,485
1269,66,342
127,0,13
1270,66,885
1271,66,389
1272,66,342
1273,9152,13359
1274,609,801
1275,66,390
1276,609,885
1277,66,437
1278,609,885
1279,66,392
128,0,13
1280,66,885
1281,609,389
1282,66,390
1283,66,342
1284,6039,7816
1285,66,746
1286,609,885
1287,609,437
1288,66,933
1289,66,389
129,0,13
1290,66,342
1291,66,342
1292,66,342
1293,66,885
1294,609,932
1295,7668,9000
1296,66,1346
1297,66,390
1298,66,885
1299,609,932
13,0,13
130,0,13
1300,66,437
1301,66,342
1302,66,342
1303,66,342
1304,8667,12009
1305,6010,7904
1306,6582,8934
1307,6495,7362
1308,6039,6586
1309,609,1187
131,0,13
1310,66,438
1311,66,885
1312,609,389
1313,609,390
1314,66,390
1315,66,885
1316,609,389
1317,66,390
1318,66,342
1319,66,885
132,0,13
1320,66,932
1321,609,932
1322,66,392
1323,66,342
1324,66,342
1325,66,342
1326,609,342
1327,1152,390
1328,66,438
1329,609,342
133,0,13
1330,66,933
1331,66,389
1332,66,342
1333,66,342
1334,1152,342
1335,5467,7605
1336,66,1289
1337,66,390
1338,2752,3057
1339,609,1036
134,0,13
1340,609,438
1341,66,390
1342,66,342
1343,66,342
1344,66,885
1345,609,932
1346,66,392
1347,66,342
1348,755,343
1349,609,886
135,0,13
1350,66,980
1351,66,389
1352,66,342
1353,66,342
1354,66,885
1355,609,389
1356,66,390
1357,66,342
1358,66,342
1359,609,885
136,0,13
1360,66,437
1361,66,342
1362,66,342
1363,66,885
1364,12207,10086
1365,66,543
1366,5467,7512
1367,1695,2369
1368,66,445
1369,8037,7401
137,0,13
1370,1695,2222
1371,66,445
1372,66,885
1373,66,389
1374,66,342
1375,66,885
1376,66,389
1377,66,342
1378,609,342
1379,66,933
138,0,13
1380,3867,4190
1381,1695,2173
1382,66,445
1383,66,342
1384,66,342
1385,66,342
1386,66,1428
1387,609,437
1388,66,390
1389,66,342
139,0,13
1390,66,885
1391,3324,3647
1392,2238,2715
1393,66,539
1394,66,885
1395,66,389
1396,66,342
1397,6553,8595
1398,66,792
1399,609,885
14,4344,5313
140,0,13
1400,1152,1523
1401,66,487
1402,7552,7401
1403,609,546
1404,66,390
1405,66,342
1406,66,342
1407,66,885
1408,66,932
1409,609,389
141,0,13
1410,66,390
1411,66,342
1412,66,342
1413,5496,5772
1414,609,498
1415,66,390
1416,66,342
1417,66,342
1418,66,342
1419,66,342
142,0,13
1420,1152,342
1421,66,438
1422,66,342
1423,609,885
1424,5496,5822
1425,66,498
1426,66,342
1427,609,342
1428,8182,10271
1429,66,800
143,0,13
1430,66,885
1431,1152,2018
1432,66,535
1433,66,885
1434,66,932
1435,2238,2561
1436,3324,3797
1437,609,545
1438,66,390
1439,66,342
144,0,13
1440,66,342
1441,609,342
1442,66,390
1443,609,342
1444,609,390
1445,609,390
1446,66,390
1447,66,342
1448,609,885
1449,66,437
145,0,13
1450,66,885
1451,66,389
1452,66,342
1453,1666,3639
1454,66,443
1455,609,342
1456,66,390
1457,66,342
1458,66,342
1459,7096,9684
146,0,13
1460,1152,841
1461,66,438
1462,1152,1428
1463,3295,4825
1464,609,446
1465,66,390
1466,609,342
1467,66,933
1468,66,389
1469,66,885
147,0,13
1470,66,932
1471,66,389
1472,609,342
1473,609,390
1474,66,390
1475,66,342
1476,609,342
1477,66,933
1478,66,389
1479,66,342
148,0,13
1480,609,342
1481,66,933
1482,66,389
1483,66,342
1484,66,885
1485,13264,11686
1486,66,594
1487,66,342
1488,66,342
1489,609,885
149,0,13
1490,11295,14206
1491,4410,6810
1492,6792,8094
1493,7001,7384
1494,4344,5246
1495,0,218
1496,0,557
1497,0,61
1498,0,13
1499,0,13
15,0,322
150,0,13
1500,543,13
1501,543,62
1502,0,62
1503,5973,7496
1504,0,370
1505,543,14
1506,0,62
1507,0,13
1508,0,13
1509,543,556
151,0,13
1510,0,65
1511,0,556
1512,0,604
1513,0,61
1514,6516,6953
1515,0,370
1516,0,14
1517,543,1099
1518,0,158
1519,0,14
152,0,13
1520,0,13
1521,543,1363
1522,543,158
1523,543,606
1524,4315,3911
1525,7602,8774
1526,0,970
1527,0,61
1528,0,13
1529,0,13
153,0,13
1530,543,13
1531,0,605
1532,543,61
1533,0,62
1534,0,556
1535,0,604
1536,0,61
1537,0,13
1538,543,13
1539,0,62
154,0,13
1540,0,13
1541,0,13
1542,0,13
1543,543,13
1544,0,605
1545,543,61
1546,0,62
1547,0,13
1548,0,13
1549,0,556
155,0,13
1550,543,604
1551,543,110
1552,6487,8319
1553,0,323
1554,0,14
1555,6458,6529
1556,0,218
1557,543,14
1558,0,62
1559,0,13
156,0,13
1560,0,13
1561,543,13
1562,0,605
1563,543,61
1564,0,62
1565,0,13
1566,0,13
1567,0,556
1568,0,61
1569,543,13
157,0,13
1570,0,605
1571,0,61
1572,0,13
1573,0,13
1574,0,13
1575,0,556
1576,543,604
1577,0,110
1578,0,14
1579,0,13
158,0,13
1580,0,556
1581,543,604
1582,0,651
1583,5401,6687
1584,0,368
1585,0,14
1586,8456,8071
1587,0,312
1588,0,14
1589,0,13
159,0,13
1590,543,556
1591,0,110
1592,0,14
1593,543,13
1594,0,62
1595,0,13
1596,543,556
1597,3801,4425
1598,1629,1846
1599,0,118
16,0,14
160,0,13
1600,0,14
1601,543,13
1602,0,62
1603,0,556
1604,543,61
1605,0,62
1606,6342,4425
1607,8456,9227
1608,5430,5744
1609,543,222
161,0,13
1610,0,63
1611,0,13
1612,0,13
1613,0,13
1614,8116,9903
1615,0,569
1616,543,14
1617,1629,1691
1618,0,254
1619,6371,6414
162,0,13
1620,1057,1304
1621,0,160
1622,0,557
1623,0,61
1624,0,13
1625,0,556
