,,bytes_control_header,bytes_control_header_retrans,bytes_data_header,bytes_data_header_retrans,bytes_data_payload,bytes_data_payload_retrans,bytes_total
server2~11.0.0.2,0,0,0,0,0,0,0,0
server2~11.0.0.2,1,0,0,0,0,0,0,0
server2~11.0.0.2,10,0,0,0,0,0,0,0
server2~11.0.0.2,100,0,0,0,0,0,0,0
server2~11.0.0.2,1000,0,0,0,0,0,0,0
server2~11.0.0.2,1001,0,0,0,0,0,0,0
server2~11.0.0.2,1002,0,0,0,0,0,0,0
server2~11.0.0.2,1003,0,0,0,0,0,0,0
server2~11.0.0.2,1004,0,0,0,0,0,0,0
server2~11.0.0.2,1005,0,0,0,0,0,0,0
server2~11.0.0.2,1006,0,0,0,0,0,0,0
server2~11.0.0.2,1007,0,0,0,0,0,0,0
server2~11.0.0.2,1008,0,0,0,0,0,0,0
server2~11.0.0.2,1009,0,0,0,0,0,0,0
server2~11.0.0.2,101,0,0,0,0,0,0,0
server2~11.0.0.2,1010,0,0,0,0,0,0,0
server2~11.0.0.2,1011,0,0,0,0,0,0,0
server2~11.0.0.2,1012,0,0,0,0,0,0,0
server2~11.0.0.2,1013,0,0,0,0,0,0,0
server2~11.0.0.2,1014,0,0,0,0,0,0,0
server2~11.0.0.2,1015,0,0,0,0,0,0,0
server2~11.0.0.2,1016,0,0,0,0,0,0,0
server2~11.0.0.2,1017,0,0,0,0,0,0,0
server2~11.0.0.2,1018,0,0,0,0,0,0,0
server2~11.0.0.2,1019,0,0,0,0,0,0,0
server2~11.0.0.2,102,0,0,0,0,0,0,0
server2~11.0.0.2,1020,0,0,0,0,0,0,0
server2~11.0.0.2,1021,0,0,0,0,0,0,0
server2~11.0.0.2,1022,0,0,0,0,0,0,0
server2~11.0.0.2,1023,0,0,0,0,0,0,0
server2~11.0.0.2,1024,0,0,0,0,0,0,0
server2~11.0.0.2,1025,0,0,0,0,0,0,0
server2~11.0.0.2,1026,0,0,0,0,0,0,0
server2~11.0.0.2,1027,0,0,0,0,0,0,0
server2~11.0.0.2,1028,0,0,0,0,0,0,0
server2~11.0.0.2,1029,0,0,0,0,0,0,0
server2~11.0.0.2,103,0,0,0,0,0,0,0
server2~11.0.0.2,1030,0,0,0,0,0,0,0
server2~11.0.0.2,1031,0,0,0,0,0,0,0
server2~11.0.0.2,1032,0,0,0,0,0,0,0
server2~11.0.0.2,1033,0,0,0,0,0,0,0
server2~11.0.0.2,1034,0,0,0,0,0,0,0
server2~11.0.0.2,1035,0,0,0,0,0,0,0
server2~11.0.0.2,1036,0,0,0,0,0,0,0
server2~11.0.0.2,1037,0,0,0,0,0,0,0
server2~11.0.0.2,1038,0,0,0,0,0,0,0
server2~11.0.0.2,1039,0,0,0,0,0,0,0
server2~11.0.0.2,104,0,0,0,0,0,0,0
server2~11.0.0.2,1040,0,0,0,0,0,0,0
server2~11.0.0.2,1041,0,0,0,0,0,0,0
server2~11.0.0.2,1042,0,0,0,0,0,0,0
server2~11.0.0.2,1043,0,0,0,0,0,0,0
server2~11.0.0.2,1044,0,0,0,0,0,0,0
server2~11.0.0.2,1045,0,0,0,0,0,0,0
server2~11.0.0.2,1046,0,0,0,0,0,0,0
server2~11.0.0.2,1047,0,0,0,0,0,0,0
server2~11.0.0.2,1048,0,0,0,0,0,0,0
server2~11.0.0.2,1049,0,0,0,0,0,0,0
server2~11.0.0.2,105,0,0,0,0,0,0,0
server2~11.0.0.2,1050,0,0,0,0,0,0,0
server2~11.0.0.2,1051,0,0,0,0,0,0,0
server2~11.0.0.2,1052,0,0,0,0,0,0,0
server2~11.0.0.2,1053,0,0,0,0,0,0,0
server2~11.0.0.2,1054,0,0,0,0,0,0,0
server2~11.0.0.2,1055,0,0,0,0,0,0,0
server2~11.0.0.2,1056,0,0,0,0,0,0,0
server2~11.0.0.2,1057,0,0,0,0,0,0,0
server2~11.0.0.2,1058,0,0,0,0,0,0,0
server2~11.0.0.2,1059,0,0,0,0,0,0,0
server2~11.0.0.2,106,0,0,0,0,0,0,0
server2~11.0.0.2,1060,0,0,0,0,0,0,0
server2~11.0.0.2,1061,0,0,0,0,0,0,0
server2~11.0.0.2,1062,0,0,0,0,0,0,0
server2~11.0.0.2,1063,0,0,0,0,0,0,0
server2~11.0.0.2,1064,0,0,0,0,0,0,0
server2~11.0.0.2,1065,0,0,0,0,0,0,0
server2~11.0.0.2,1066,0,0,0,0,0,0,0
server2~11.0.0.2,1067,0,0,0,0,0,0,0
server2~11.0.0.2,1068,0,0,0,0,0,0,0
server2~11.0.0.2,1069,0,0,0,0,0,0,0
server2~11.0.0.2,107,0,0,0,0,0,0,0
server2~11.0.0.2,1070,0,0,0,0,0,0,0
server2~11.0.0.2,1071,0,0,0,0,0,0,0
server2~11.0.0.2,1072,0,0,0,0,0,0,0
server2~11.0.0.2,1073,0,0,0,0,0,0,0
server2~11.0.0.2,1074,0,0,0,0,0,0,0
server2~11.0.0.2,1075,0,0,0,0,0,0,0
server2~11.0.0.2,1076,0,0,0,0,0,0,0
server2~11.0.0.2,1077,0,0,0,0,0,0,0
server2~11.0.0.2,1078,0,0,0,0,0,0,0
server2~11.0.0.2,1079,0,0,0,0,0,0,0
server2~11.0.0.2,108,0,0,0,0,0,0,0
server2~11.0.0.2,1080,0,0,0,0,0,0,0
server2~11.0.0.2,1081,0,0,0,0,0,0,0
server2~11.0.0.2,1082,0,0,0,0,0,0,0
server2~11.0.0.2,1083,0,0,0,0,0,0,0
server2~11.0.0.2,1084,0,0,0,0,0,0,0
server2~11.0.0.2,1085,0,0,0,0,0,0,0
server2~11.0.0.2,1086,0,0,0,0,0,0,0
server2~11.0.0.2,1087,0,0,0,0,0,0,0
server2~11.0.0.2,1088,0,0,0,0,0,0,0
server2~11.0.0.2,1089,0,0,0,0,0,0,0
server2~11.0.0.2,109,0,0,0,0,0,0,0
server2~11.0.0.2,1090,0,0,0,0,0,0,0
server2~11.0.0.2,1091,0,0,0,0,0,0,0
server2~11.0.0.2,1092,0,0,0,0,0,0,0
server2~11.0.0.2,1093,0,0,0,0,0,0,0
server2~11.0.0.2,1094,0,0,0,0,0,0,0
server2~11.0.0.2,1095,0,0,0,0,0,0,0
server2~11.0.0.2,1096,0,0,0,0,0,0,0
server2~11.0.0.2,1097,0,0,0,0,0,0,0
server2~11.0.0.2,1098,0,0,0,0,0,0,0
server2~11.0.0.2,1099,0,0,0,0,0,0,0
server2~11.0.0.2,11,0,0,0,0,0,0,0
server2~11.0.0.2,110,0,0,0,0,0,0,0
server2~11.0.0.2,1100,0,0,0,0,0,0,0
server2~11.0.0.2,1101,0,0,0,0,0,0,0
server2~11.0.0.2,1102,0,0,0,0,0,0,0
server2~11.0.0.2,1103,0,0,0,0,0,0,0
server2~11.0.0.2,1104,0,0,0,0,0,0,0
server2~11.0.0.2,1105,0,0,0,0,0,0,0
server2~11.0.0.2,1106,0,0,0,0,0,0,0
server2~11.0.0.2,1107,0,0,0,0,0,0,0
server2~11.0.0.2,1108,0,0,0,0,0,0,0
server2~11.0.0.2,1109,0,0,0,0,0,0,0
server2~11.0.0.2,111,0,0,0,0,0,0,0
server2~11.0.0.2,1110,0,0,0,0,0,0,0
server2~11.0.0.2,1111,0,0,0,0,0,0,0
server2~11.0.0.2,1112,0,0,0,0,0,0,0
server2~11.0.0.2,1113,0,0,0,0,0,0,0
server2~11.0.0.2,1114,0,0,0,0,0,0,0
server2~11.0.0.2,1115,0,0,0,0,0,0,0
server2~11.0.0.2,1116,0,0,0,0,0,0,0
server2~11.0.0.2,1117,0,0,0,0,0,0,0
server2~11.0.0.2,1118,0,0,0,0,0,0,0
server2~11.0.0.2,1119,0,0,0,0,0,0,0
server2~11.0.0.2,112,0,0,0,0,0,0,0
server2~11.0.0.2,1120,0,0,0,0,0,0,0
server2~11.0.0.2,1121,0,0,0,0,0,0,0
