,bytes_read,bytes_written
0,0,8
1,5300,4598
10,0,60
100,0,556
101,0,60
102,0,13
103,543,13
104,0,61
105,0,13
106,0,13
107,0,13
108,0,13
109,543,13
11,0,13
110,0,61
111,0,556
112,0,60
113,0,556
114,0,60
115,543,13
116,0,61
117,0,13
118,0,13
119,543,556
12,543,13
120,0,108
121,0,14
122,0,13
123,0,13
124,0,13
125,0,13
126,543,556
127,0,108
128,0,14
129,0,556
13,0,61
130,0,60
131,0,13
132,0,13
133,0,13
134,0,13
135,0,13
136,543,13
137,0,61
138,0,556
139,0,60
14,543,1355
140,0,13
141,0,13
142,543,13
143,0,604
144,0,60
145,0,13
146,0,13
147,0,13
148,0,13
149,543,13
15,1086,1454
150,0,61
151,543,13
152,0,61
153,0,13
154,0,13
155,543,13
156,0,61
157,0,13
158,0,556
159,0,60
16,0,219
160,1086,13
161,0,108
162,0,14
163,0,13
164,543,13
165,0,61
166,0,13
167,0,13
168,0,13
169,543,1099
17,0,14
170,0,111
171,0,14
172,543,13
173,0,61
174,0,13
175,0,13
176,0,13
177,543,13
178,543,61
179,0,61
18,0,556
180,0,13
181,0,13
182,0,13
183,1629,5386
184,1629,2970
185,0,222
186,0,14
187,543,13
188,0,61
189,1086,13
19,0,60
190,0,108
191,0,14
192,0,13
193,543,13
194,0,61
195,1629,3114
196,0,222
197,0,14
198,0,13
199,0,13
2,2172,3660
20,543,13
200,543,13
201,543,61
202,0,61
203,0,13
204,0,13
205,0,13
206,1629,2600
207,543,222
208,0,62
209,543,13
21,0,61
210,0,61
211,0,13
212,543,13
213,0,61
214,1629,4589
215,0,268
216,0,14
217,543,13
218,0,61
219,0,13
22,0,13
220,0,556
221,543,60
222,0,61
223,0,13
224,0,13
225,2172,3117
226,0,765
227,0,60
228,0,13
229,0,13
23,0,13
230,0,13
231,0,13
232,543,13
233,0,604
234,0,60
235,0,13
236,1629,2600
237,0,222
238,0,14
239,0,556
24,0,13
240,0,60
241,0,13
242,0,13
243,0,13
244,0,556
245,543,1397
246,0,65
247,1629,4174
248,0,268
249,0,14
25,1629,2598
250,0,13
251,0,13
252,0,13
253,543,13
254,0,61
255,0,556
256,0,60
257,0,13
258,1629,2603
259,0,765
26,543,221
260,0,60
261,543,13
262,0,61
263,0,13
264,0,13
265,543,13
266,0,61
267,0,556
268,0,60
269,1629,2603
27,0,62
270,0,222
271,0,14
272,0,556
273,0,60
274,0,13
275,0,13
276,0,13
277,543,13
278,0,604
279,0,60
28,0,13
280,543,13
281,0,61
282,0,13
283,0,97
284,0,13
285,543,556
286,0,108
287,0,14
288,0,13
289,0,13
29,0,13
290,0,13
291,0,13
292,0,13
293,1086,104
294,0,109
295,0,14
296,0,13
297,0,13
298,0,13
299,0,13
3,0,1035
30,0,13
300,543,13
301,543,61
302,0,61
303,0,13
304,543,13
305,0,61
306,0,13
307,0,556
308,0,60
309,543,13
31,0,13
310,0,61
311,0,13
312,0,13
313,0,1099
314,0,107
315,0,14
316,0,13
317,0,556
318,0,603
319,0,60
32,0,1099
320,0,13
321,0,13
322,543,13
323,0,61
324,543,13
325,543,61
326,0,61
327,0,13
328,0,13
329,0,13
33,0,107
330,543,13
331,0,61
332,543,13
333,0,61
334,0,13
335,0,556
336,543,60
337,0,61
338,0,13
339,0,13
34,0,14
340,0,13
341,543,13
342,543,61
343,0,61
344,0,13
345,0,13
346,543,13
347,0,61
348,543,13
349,0,604
35,0,13
350,0,60
351,0,13
352,0,13
353,0,13
354,0,556
355,0,603
356,0,60
357,0,13
358,543,13
359,0,61
36,1629,2600
360,0,13
361,0,13
362,543,13
363,0,61
364,0,13
365,543,13
366,543,61
367,0,61
368,0,13
369,1629,4319
37,0,222
370,1629,3469
371,0,268
372,0,14
373,543,13
374,0,61
375,0,13
376,0,13
377,0,13
378,543,13
379,543,61
38,0,14
380,0,61
381,0,13
382,543,13
383,543,61
384,0,61
385,0,13
386,543,13
387,0,61
388,0,13
389,0,13
39,0,13
390,0,13
391,0,556
392,0,60
393,0,556
394,0,60
395,0,13
396,0,13
397,0,13
398,543,13
399,0,61
4,1629,1545
40,543,13
400,1629,4591
401,0,268
402,0,14
403,0,13
