,bytes_read,bytes_written
0,1629,1943
1,4216,3531
10,0,14
100,0,13
1000,0,13
1001,0,13
1002,543,13
1003,0,604
1004,0,60
1005,0,13
1006,0,13
1007,0,13
1008,0,13
1009,0,556
101,0,13
1010,543,60
1011,0,61
1012,0,13
1013,543,13
1014,0,61
1015,0,13
1016,0,556
1017,0,60
1018,0,556
1019,0,60
102,543,13
1020,1629,4150
1021,0,222
1022,0,14
1023,0,13
1024,0,556
1025,0,60
1026,0,13
1027,543,13
1028,0,61
1029,0,13
103,0,61
1030,0,556
1031,543,1403
1032,1086,1452
1033,0,220
1034,0,14
1035,0,13
1036,0,13
1037,0,13
1038,0,556
1039,543,60
104,0,13
1040,0,61
1041,0,13
1042,543,13
1043,0,61
1044,0,13
1045,543,13
1046,0,61
1047,0,13
1048,0,13
1049,543,13
105,543,13
1050,0,61
1051,1629,4150
1052,0,222
1053,0,557
1054,0,60
1055,0,13
1056,0,13
1057,0,556
1058,0,60
1059,0,13
106,0,61
1060,543,231
1061,0,62
1062,543,1356
1063,1086,1455
1064,0,220
1065,543,14
1066,0,61
1067,0,13
1068,0,13
1069,0,13
107,543,556
1070,0,556
1071,0,60
1072,0,556
1073,0,60
1074,0,13
1075,543,13
1076,0,61
1077,0,13
1078,0,13
1079,0,556
108,0,108
1080,0,60
1081,0,556
1082,1086,3835
1083,543,817
1084,0,207
1085,0,14
1086,0,13
1087,0,13
1088,0,556
1089,543,60
109,0,14
1090,0,61
1091,0,13
1092,0,13
1093,543,1356
1094,1086,1452
1095,0,763
1096,0,60
1097,0,13
1098,0,13
1099,0,13
11,0,13
110,0,13
1100,0,13
1101,543,13
1102,0,604
1103,0,60
1104,0,13
1105,0,13
1106,0,13
1107,0,13
1108,0,13
1109,543,13
111,0,13
1110,0,61
1111,543,13
1112,0,61
1113,1629,3852
1114,543,2173
1115,543,982
1116,543,766
1117,0,207
1118,0,557
1119,0,60
112,0,13
1120,0,13
1121,0,13
1122,0,13
1123,543,13
1124,0,61
1125,0,556
1126,0,60
1127,0,13
1128,543,13
1129,0,61
113,0,556
1130,0,13
1131,0,13
1132,0,13
1133,1086,13
1134,0,108
1135,0,14
1136,0,13
1137,0,13
1138,0,13
1139,0,13
114,543,60
1140,0,13
1141,543,556
1142,0,108
1143,0,14
1144,1629,3377
1145,0,222
1146,0,14
1147,543,13
1148,0,61
1149,0,556
115,0,61
1150,0,60
1151,0,13
1152,543,13
1153,0,61
1154,0,13
1155,0,13
1156,0,13
1157,543,13
1158,0,61
1159,543,13
116,0,13
1160,0,61
1161,0,13
1162,0,13
1163,0,13
1164,0,13
1165,0,556
1166,543,60
1167,0,61
1168,0,13
1169,0,13
117,0,556
1170,0,13
1171,543,13
1172,0,61
1173,0,13
1174,543,13
1175,1629,3422
1176,0,222
1177,0,14
1178,0,13
1179,0,13
118,0,60
1180,0,13
1181,543,13
1182,0,604
1183,0,60
1184,0,556
1185,0,60
1186,0,13
1187,0,13
1188,0,13
1189,0,13
119,0,556
1190,0,13
1191,543,13
1192,0,61
1193,543,13
1194,0,61
1195,0,13
1196,0,13
1197,0,13
1198,543,13
1199,0,61
12,0,556
120,0,60
1200,0,556
1201,0,60
1202,0,13
1203,0,556
1204,0,60
1205,543,13
1206,1629,3421
1207,0,222
1208,0,14
1209,543,13
121,0,13
1210,543,61
1211,0,61
1212,0,13
1213,0,13
1214,0,1099
1215,0,107
1216,0,14
1217,0,556
1218,0,60
1219,543,13
122,0,13
1220,0,61
1221,543,13
1222,0,61
1223,0,13
1224,0,13
1225,0,13
1226,0,13
1227,543,13
1228,0,61
1229,0,556
123,0,13
1230,0,60
1231,0,13
1232,0,13
1233,0,13
1234,543,13
1235,0,61
1236,0,13
1237,1629,4696
1238,0,268
1239,0,14
124,0,556
1240,0,13
1241,5810,3596
1242,0,223
1243,0,14
1244,543,13
1245,0,61
1246,0,556
1247,0,60
1248,0,13
1249,0,13
125,0,603
1250,0,556
1251,0,60
1252,1629,2599
1253,0,222
1254,0,14
1255,0,13
1256,0,13
1257,543,13
1258,0,61
1259,0,13
126,0,60
1260,543,556
1261,0,108
1262,543,14
1263,0,61
1264,0,13
1265,0,13
1266,543,13
