time,bytes_read,bytes_written
0,543,505
1,1086,2469
10,0,13
100,0,13
101,0,13
102,0,13
103,0,13
104,0,13
105,543,13
106,0,61
107,0,13
108,0,13
109,0,13
11,0,13
110,543,13
111,0,61
112,0,13
113,0,13
114,0,13
115,0,13
116,0,13
117,0,13
118,0,556
119,0,60
12,0,556
120,0,13
121,0,13
122,0,13
123,0,13
124,0,13
125,0,13
126,0,556
127,0,60
128,0,13
129,0,13
13,0,60
130,0,13
131,0,13
132,0,13
133,0,13
134,0,556
135,0,60
136,0,13
137,0,13
138,0,13
139,0,556
14,543,1355
140,0,60
141,0,13
142,0,13
143,0,13
144,0,13
145,0,556
146,0,60
147,0,13
148,543,13
149,0,61
15,1086,1454
150,0,13
151,0,13
152,0,13
153,543,13
154,0,61
155,0,13
156,0,556
157,0,60
158,0,13
159,0,13
16,0,219
160,0,13
161,0,13
162,0,13
163,543,13
164,0,61
165,0,13
166,543,13
167,0,61
168,0,13
169,0,13
17,0,14
170,0,13
171,0,13
172,543,13
173,0,61
174,0,13
175,0,13
176,0,13
177,0,13
178,543,13
179,0,61
18,0,13
180,0,13
181,0,13
182,0,13
183,1629,5892
184,1629,2936
185,0,222
186,0,14
187,0,13
188,0,13
189,0,13
19,0,13
190,0,13
191,0,556
192,0,60
193,0,13
194,0,13
195,1629,2600
196,0,222
197,0,14
198,0,13
199,0,13
2,2172,3478
20,0,13
200,543,13
201,0,61
202,0,13
203,0,556
204,0,60
205,0,13
206,1629,2603
207,0,222
208,0,14
209,0,556
21,543,13
210,0,60
211,0,13
212,0,13
213,0,13
214,1629,5085
215,0,222
216,0,14
217,0,13
218,0,13
219,543,13
22,0,61
220,0,61
221,0,13
222,0,13
223,0,13
224,0,13
225,1629,2600
226,0,222
227,0,14
228,0,13
229,0,13
23,0,13
230,543,13
231,0,61
232,0,13
233,0,13
234,0,13
235,0,13
236,2172,2603
237,0,222
238,0,14
239,0,13
24,0,13
240,0,13
241,0,13
242,0,13
243,543,13
244,0,61
245,0,1349
246,0,61
247,543,2385
248,543,959
249,543,714
25,1629,2595
250,0,207
251,0,105
252,0,14
253,0,556
254,0,60
255,0,13
256,0,13
257,0,13
258,1629,2603
259,0,222
26,0,221
260,0,14
261,0,13
262,0,13
263,0,13
264,0,13
265,0,556
266,0,60
267,0,13
268,543,13
269,1629,2648
27,0,14
270,0,222
271,0,14
272,0,13
273,0,13
274,0,13
275,0,13
276,0,13
277,0,556
278,0,60
279,0,13
28,0,13
280,0,13
281,0,13
282,0,13
283,0,13
284,0,556
285,0,150
286,0,14
287,0,13
288,0,13
289,0,13
29,0,556
290,0,13
291,0,13
292,543,13
293,0,61
294,0,13
295,0,13
296,0,13
297,0,13
298,0,13
299,0,13
3,1629,3073
30,0,60
300,0,556
301,0,60
302,0,13
303,0,13
304,0,13
305,543,13
306,0,61
307,0,13
308,0,13
309,0,13
31,0,13
310,0,13
311,0,13
312,543,13
313,0,61
314,0,13
315,0,13
316,0,556
317,0,60
318,0,13
319,0,13
32,0,13
320,543,13
321,0,61
322,0,13
323,0,13
324,0,13
325,0,13
326,0,13
327,0,13
328,543,556
329,0,64
33,0,13
330,0,13
331,0,13
332,0,13
333,543,13
334,0,61
335,0,13
336,0,13
337,0,13
338,0,13
339,0,13
34,0,13
340,0,13
341,543,13
342,0,61
343,0,13
344,0,13
345,0,556
346,0,60
347,0,13
348,0,13
349,0,13
35,0,556
350,0,13
351,0,556
352,0,60
353,0,13
354,0,13
355,0,13
356,0,13
